Item Id,Item Name,Product Category,Tax Code,Tax Code Description,Confidence
a156g0000055wdWAAQ,ECCHO Associate Member Quarterly Dues ($60B up to $100B deposit tier),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000056t3RAAQ,ECCHO Participating Member Dues (Prorated for AA FCU),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g00000572KTAAY,Check Adjustments Insights into Investigation Types (ITYPs),Online Training,ST087634,Online Training,high
a156g00000572KiAAI,Principles and Concepts of Image Cash Letters and Electronic Check Adjustments,Online Training,ST087634,Online Training,high
a156g0000057Zq8AAE,Recording: Canadian Cheques Processing & Clearing,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g0000057ySjAAI,Recording: Duplicates and Impacts of Remote Deposit Capture,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a15Vy0000001jHdIAI,2024 ECCHO Rules Book - Printed Advertisement,Book/Manual,PB100000,Books / Manuals,high
a15Vy0000001jMTIAY,2024 NCP Partnership - Platinum Level,Sponsorship,SA030000,Advertising Services - No Transfer of TPP,high
a15Vy000000AzAHIA0,NCP Exam Retest Fee (current year),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a15Vy000000XQwbIAG,"ECCHO Participating Member Dues (Prorated for EverBank, NA)",Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a15Vy000000eBmLIAU,All About Check: Check Fraud & Risk Mitigation,Online Training,ST087634,Online Training,high
a15Vy000001cReZIAU,NCP Exam Practice Test,Exam/Certification Fee,ST080010,Online Skill Assessments,high
a15Vy000002IXQzIAO,Recording: Exploring the ECCHO Rules,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a15Vy000003lAJxIAM,2025 NCP Editorial Board Kick-Off Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy0000055ryTIAQ,Spring 2025 ECCHO Operations Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy0000055s05IAA,ECCHO Operations Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy0000055s06IAA,ECCHO Roundtable Discussion,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy0000055s07IAA,Welcome Reception,Meal/Food Event,SF096370,Catering Services,high
a15Vy00000825VGIAY,ECCHO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000825VHIAY,ECCHO Business Committee Meeting (Virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000825VIIAY,ECCHO/SVPCO Reception and Dinner,Meal/Food Event,SF096370,Catering Services,high
a15Vy00000825VJIAY,SVPCO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000825VKIAY,SVPCO Business Committee Meeting (Virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy0000082LzpIAE,Q2 ECCHO Business Committee Meeting and/or Q2 SVCPO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy000008hkMMIAY,NCP Mouse Pad,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a15Vy000009X465IAC,2025 NCP Cut Score Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy000009X47hIAC,Day 1 Group Dinner,Meal/Food Event,SF096370,Catering Services,high
a15Vy000009X47iIAC,Day 1 Participation,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy000009X47jIAC,Day 2 Group Dinner,Meal/Food Event,SF096370,Catering Services,high
a15Vy000009X47kIAC,Day 2 Participation,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy000009X47lIAC,Day 3 Participation,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy000009ja2CIAQ,All About Check: Remotely Created Check,Online Training,ST087634,Online Training,high
a15Vy00000BKp9hIAD,"All About Check: Cashiers Checks - Lost, Stolen or Destroyed",Online Training,ST087634,Online Training,high
a15Vy00000DCKxxIAH,Recording: Combating Cashiers Check Fraud,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a15Vy00000GgYiVIAV,"Recording: Warranties, Rules & Regulations for Check Fraud",Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a15Vy00000Gnff7IAB,Q4 ECCHO Business Committee Meeting and/or Q4 SVCPO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000GnfgjIAB,ECCHO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000GnfgkIAB,ECCHO Business Committee Meeting (Virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000GnfglIAB,ECCHO/SVPCO Reception and Dinner,Meal/Food Event,SF096370,Catering Services,high
a15Vy00000GnfgmIAB,SVPCO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000GnfgnIAB,SVPCO Business Committee Meeting (Virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000LHfNeIAL,Recording: The Reclamation Process with U.S. Treasury Checks,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a15Vy00000NtykfIAB,2026 NCP Editorial Board Kick-Off Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000PJk8pIAD,Overview of Check Returns and Exception Handling,Online Training,ST087634,Online Training,high
a15Vy00000PK5efIAD,RDC Risk Management,Online Training,ST087634,Online Training,high
a15Vy00000QUNEjIAP,Spring 2026 ECCHO Operations Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QVsYDIA1,ECCHO Operations Committee Networking Reception,Meal/Food Event,SF096370,Catering Services,high
a15Vy00000QVt1FIAT,ECCHO Operations Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QVtvhIAD,ECCHO Operations Committee Roundtable,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QWbdNIAT,Q4 ECCHO Business Committee Meeting and/or Q4 SVCPO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QWluTIAT,Q2 2026 SVPCO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QWm8zIAD,ECCHO/SVPCO Welcome Reception and Dinner,Meal/Food Event,SF096370,Catering Services,high
a15Vy00000QWms9IAD,Q2 2026 ECCHO Business Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QZAn7IAH,Q2 2026 SVPCO Business Committee Meeting (virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000QZBODIA5,Q2 2026 ECCHO Business Committee Meeting (virtual),Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000T0EgbIAF,2026 NCP Cut Score Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000T0QkzIAF,"Day 1; June 3, 2026",Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000T0QzVIAV,"Day 1; June 3, 2026 Group Dinner",Meal/Food Event,SF096370,Catering Services,high
a15Vy00000T0RKTIA3,"Day 2; June 4, 2026",Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a15Vy00000T0Rh3IAF,"Day 2; June 4, 2026 Group Dinner",Meal/Food Event,SF096370,Catering Services,high
a15Vy00000T0RqjIAF,"Day 3; June 5, 2026",Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
